$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0.11161199999999999,7.2398,519.807,47.0344,40.6425,False
0.1,7.5,100.0,45.0847,40.6353,False
0.1,7.5,1000.0,45.0847,40.6353,False
0.116353,7.24833,114.012,46.9249,40.624,False
0.11215499999999999,7.4591,148.34,45.235,40.6108,False
0.120217,7.2142100000000005,97.8079,47.1824,40.6022,False
0.124301,7.2719,540.632,46.6546,40.5879,False
0.13678099999999999,7.2404,254.37,46.848,40.5452,False
0.1,7.0,1000.0,49.0621,40.5398,False
0.1,7.0,100.0,49.0621,40.5398,False
0.13639600000000002,7.264360000000001,68.1884,46.6414,40.5395,False
0.134433,7.36295,51.9361,45.8435,40.534,False
0.140486,7.20602,55.7485,47.1369,40.5297,False
0.14078800000000002,7.26353,145.54399999999998,46.6169,40.5233,False
0.110529,7.0228600000000005,99.1433,48.8241,40.523,False
0.138763,7.3699699999999995,334.98900000000003,45.6891,40.52,False
0.11760599999999999,7.3692,37.2711,46.1803,40.5198,False
0.14243499999999998,7.3882,200.608,45.5338,40.5009,False
0.10261600000000001,7.61866,41.3906,44.992,40.4887,False
0.143652,7.1206,481.38699999999994,47.8168,40.4806,False
0.149089,7.1485899999999996,383.017,47.5296,40.4767,False
0.13811500000000002,7.06992,125.161,48.2689,40.4645,False
0.100091,6.8932899999999995,239.018,49.8863,40.4601,False
0.139718,7.27085,39.8365,46.9047,40.4598,False
0.163676,7.19808,592.112,46.9985,40.451,False
0.158616,7.294639999999999,381.04400000000004,46.1978,40.4466,False
0.153749,7.10959,812.63,47.8382,40.4415,False
0.169548,7.25807,64.6155,46.4218,40.4131,False
0.13513699999999998,7.5792399999999995,127.23700000000001,44.638999999999996,40.4124,False
0.112477,7.666710000000001,45.5445,44.707,40.412,False
0.115122,7.68111,144.494,44.4813,40.4068,False
0.145278,7.01139,81.2957,48.6823,40.4052,False
0.136919,7.575,54.5851,44.6919,40.4042,False
0.157345,7.05283,456.52,48.2814,40.3927,False
0.17152699999999999,7.1254100000000005,67.3371,47.553000000000004,40.3889,False
0.142777,7.531060000000001,45.5752,44.9545,40.3855,False
0.17335699999999998,7.33633,680.938,45.6784,40.3787,False
0.163703,7.45673,182.333,44.9236,40.3752,False
0.17810499999999999,7.27917,682.654,46.1386,40.3728,False
0.136724,6.91678,102.736,49.4414,40.3622,False
0.103716,7.110869999999999,32.1392,49.0274,40.361999999999995,False
0.18145799999999998,7.12781,68.2062,47.4455,40.3566,False
0.145822,7.6158600000000005,418.64599999999996,44.5018,40.3258,False
0.138598,6.872610000000001,194.80900000000003,49.7945,40.325,False
0.12391500000000001,6.80905,50.5625,50.6337,40.3201,False
0.169209,6.98481,532.312,48.7226,40.3111,False
0.149051,6.89213,118.37100000000001,49.5509,40.3056,False
0.1,8.0,100.0,43.8513,40.2933,False
0.17782,7.0,100.0,48.5468,40.2933,False
0.17782,7.0,1000.0,48.5468,40.2933,False
0.1,8.0,1000.0,43.8513,40.2933,False
0.150576,6.87292,239.551,49.7014,40.2878,False
0.10015800000000001,7.88822,277.724,44.0665,40.2872,False
0.130683,6.80616,46.9525,50.6717,40.2809,False
0.209425,7.1829,800.345,46.701,40.2736,False
0.108083,6.663469999999999,62.0843,52.2034,40.2712,False
0.17782,7.5,1000.0,44.6806,40.2707,False
0.17782,7.5,100.0,44.6806,40.2707,False
0.107153,7.885680000000001,224.50799999999998,44.0445,40.2594,False
0.10890599999999999,7.904960000000001,70.6446,43.9857,40.2548,False
